Indirizzo;Ubicazione;Codice;Ambito;Pagamenti;Tariffa;Tipo;Latitude;Longitude
Via Antonio Varisco; ;N195;Della Vittoria;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.9163;12.450699
Via Pietro de Cristoforo;Civico 46;O49;Trionfale;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 03 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Venerdi';Pay&Go;41.90546;12.442837
Via Luigi Rizzo;Civico 2;O54;Trionfale;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 03 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Venerdi';Pay&Go;41.909027;12.446401
Via San Tommaso D'Aquino;Civico 110;O60;Trionfale;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 03 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Venerdi';Pay&Go;41.912144;12.448811
Via Messina;Civico 29;S15;Salario;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go;41.9111;12.502667
Via Guicciardini;Angolo Via R. Bonghi;I37;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.890404;12.50098
Piazza Ludovico Muratori; ;I39;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.89078;12.498358
Via Francesco Giambullari;Angolo Via L. Muratori;I40;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.890106;12.499885
Via di S. Giovanni in Laterano;Civico 66;I47;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.889553;12.496065
Via Labicana;Civico 49a;I50;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.889393;12.499561
Via Lazzaro Spallanzani;Civico 32;P55;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.911972;12.511393
Via Angelo Poliziano;Civico 36a;I34;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.892044;12.500923
Via Monte Santo;Civico 63;N127;Della Vittoria;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.918405;12.460691
Via Monte Pertica;Civico 32;N141;Della Vittoria;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.919895;12.459783
Via Mazzamurelli; ;M31;Trastevere;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.88856;12.473071
Via della Penitenza;Civico 8;M8;Trastevere;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 05 - 1.20 euro/h ZTL - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.894073;12.465348
Piazza Sidney Sonnino;Civico 35;M49;Trastevere;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.888786;12.474129
Via XXX Aprile;Civico 1;M55;Trastevere;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.8866;12.46444
Via Imperia;Civico 68;P43;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go;41.907948;12.516013
Via Como;Civico 68;P44;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.908234;12.516844
Via Como;Angolo Via Trapan;P50;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.909836;12.515458
Viale delle Provincie;Civico 155a;P51;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.90624;12.521705
Viale dell'Universita';Angolo Via del C. Laurenziano;P3;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.906284;12.516529
Via Baglivi;Angolo Via Treviso;P7;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.90952;12.512535
Via Ostiense;Civico 73;R80;Ostiense 8° Mun.  XB-XC;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.872723;12.480043
Circonvallazione Clodia;Civico 34/a;N199;Della Vittoria;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.914616;12.452352
Via Musa;Civico 7;P56;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.911217;12.510686
Via Ostiense;Civico 78;R87;Ostiense 8° Mun.  XB-XC;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.869663;12.479596
Via delle Conce;Civico 1;R99;Ostiense 8° Mun.  XB-XC;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.872658;12.478705
Via Alessandro Torlonia;Civico 33;P61;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.914463;12.514606
Via Di Villa Massino;Angolo Via A.Torlonia;P62;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.913788;12.515901
Viale delle Provincie;Civico 119;P32;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go;41.907787;12.521753
Via Morgagni;Civico 40;P37;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.910374;12.512841
Via Pirro Ligorio;Civico 23;AE15;San Saba;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.88046;12.485633
Via Unione Sovietica;Civico 9/B;AB90;Parioli;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.930965;12.47119
Via Lariana;Angolo Via Taro;AC43;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.92347;12.504279
Via Panaro;Angolo Via Annone;AC14;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.923893;12.512059
Piazza Volsino;Angolo Via Panaro;AC15;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.92462;12.510372
Via Archiano;Angolo Via Nemorense;AC17;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.92446;12.507993
Via Taranto;Civico 88;AG94;Tuscolano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.88417;12.516327
Via Montepulciano;Angolo Via Comacchio;AG40;Tuscolano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 03 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Venerdi';Pay&Go+;41.883846;12.523556
Viale Aventino;Civico 39;AE28;San Saba;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.88181;12.485984
Viale Aventino;Civico 15/a;AE29;San Saba;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.88237;12.486792
Via della Stazione di S. Pietro;Civico 52;104;Park di Scambio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;Park di Scambio - euro 2,00 12/h - euro 3,00 16/h;Pay&Go+;41.89672;12.454223
Viale Beethoven;Civico 63;AA30;Europa (E.U.R.);PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.831993;12.466359
Via Pietro Mascagni;Civico  66;AC146;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 03 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Venerdi';Pay&Go+;41.93757;12.512448
Via Urbana;Civico 151;AD173;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 12 - 1.20 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.897644;12.495249
Via della Magliana Nuova; ;157;Park di Scambio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;Park di Scambio - euro 1,50 12/h - euro 2,50 16/h;Pay&Go+;41.848832;12.456115
Via Donizzetti;Civico 10;V5;Pinciano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.91687;12.495007
Via Paisiello;Civico 12;V8;Pinciano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.91764;12.493645
Via Francesco Jacovacci;Via Tiziano;V162;Pinciano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.919544;12.475113
Viale Somalia;Civico 136;AC129;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 03 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Venerdi';Pay&Go+;41.93554;12.517157
Via Ostiense;Civico 133/b;R56;Ostiense 8° Mun.  XB-XC;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.864536;12.479079
Viale Metronio; ;AH8;Appio Latino;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.878105;12.502701
Via Sessoriana;Angolo Via Grandis;AD165;Esquilino;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.888332;12.513477
Viale Umberto Tupini;Civico 103;AA36;Europa (E.U.R.);PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.833675;12.462339
Viale dell' Urbanistica;Civico 7;AA38;Europa (E.U.R.);PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.835243;12.466134
Via di Trasone;Via dei Giordani;AC72;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.92861;12.510165
Via Anapo;Via Salaria;AC47;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.926647;12.505915
Via Casperia;Civico 45;AC92;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.931744;12.5165
Via Panama;Civico 19;AB22;Parioli;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.92336;12.493828
Viale Bruno Buozzi; ;V110;Pinciano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.918938;12.477249
Via Antonio Bertoloni;Civico 11/A;V26;Pinciano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.92288;12.488878
Piazza Galeria;Civico 15/A;AH17;Appio Latino;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.874836;12.506332
Via Raimondo Di Capua;Civico 20;AE61;Ripa;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.884113;12.480036
Viale Bruno Buozzi;Incrocio con Viale delle Belle Arti;V111;Pinciano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.919308;12.47621
Via Carlo Felice;Civico 105;AD164;Esquilino;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.88795;12.513477
Via Pietro Mascagni;Angolo Via Somalia;AC102;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 03 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Venerdi';Pay&Go+;41.93427;12.519601
Viale dei Parioli;Civico 79/C;AB52;Pinciano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.92695;12.486002
Via Ruggero Fauro;Angolo Via A. Carrucini;AB57;Parioli;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.927986;12.487713
Via Tracia;Civico 4;AH43;Appio Latino;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.881176;12.500448
Via Elvia Recina;Civico 20;AH53;Appio Latino;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.879852;12.50748
Via della Chimica;Civico 8;AA22;Europa (E.U.R.);PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.833622;12.466183
Via della Chimica;Civico 20;AA23;Europa (E.U.R.);PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.83276;12.465624
Via di S. Anselmo;Angolo Piazza Albania;AE52;Ripa;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.880302;12.482612
Viale Liegi;Angolo Via Paraguay;AB21;Parioli;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.921852;12.494369
Piazza Albania;Civico 35;AE55;Ripa;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.88044;12.483738
Via di S. Domenico;Angolo Via di S.Anselmo;AE57;Ripa;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.882885;12.47997
Via Giacinta Pezzana;Civico 27;AB68;Parioli;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.930836;12.49525
Via di Villa San Filippo;Angolo Piazza Digione;AB28;Parioli;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.92784;12.490825
Viale Romania;Civico 107;AB31;Parioli;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.925774;12.493423
Via Alessandro Vessella;Civico 17;AC142;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.935955;12.510738
Via Gelsomini;Angolo Via Oddone da Cluny;AE39;Ripa;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.87946;12.481004
Via Principe Amedeo;Civico 265;B98;Esquilino;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.895332;12.506056
Piazza della Consolazione; ;A44;Campitelli Ripa;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.890987;12.482439
Via Sannio;Civico 51;0121;Appio Latino;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.883984;12.507368
Via degli Scipioni;Angolo Via Paolo Emilio;G6;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.909817;12.463144
Via dei Gracchi;Civico 299;G100;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.90976;12.469824
Via Giovanni Battista Bodoni;Civico 53;H9;Testaccio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 05 - 1.20 euro/h ZTL - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.87943;12.475742
Lungotevere delle Navi;Civico 22;E34;Flaminio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 15 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Venerdi';Pay&Go+;41.917416;12.47169
